"id";"category_type"
1;"cs.LG"
2;"cs.AI"
3;"cs.SI"
4;"cs.CL"
5;"cs.CY"
6;"stat.ML"
7;"cs.HC"
8;"cs.IR"
9;"cs.CV"
10;"cs.NE"
11;"cs.SE"
12;"cs.PL"
13;"cs.MM"
14;"cs.DC"
15;"cs.CR"
16;"cs.DB"
17;"cs.GR"
18;"cs.SD"
19;"eess.AS"
20;"eess.IV"
21;"cs.RO"
22;"cs.CC"
23;"math.ST"
24;"stat.AP"
25;"stat.ME"
26;"physics.soc-ph"
27;"cs.NI"
28;"eess.SY"
29;"math.DS"
30;"math.NA"
31;"math.CA"
32;"cs.PF"
33;"econ.GN"
34;"q-fin.ST"
35;"eess.SP"
36;"cs.MA"
37;"q-fin.TR"
38;"q-bio.QM"
39;"cs.DS"
40;"cs.CG"
41;"cs.GT"
42;"math.OC"
43;"astro-ph.IM"
44;"astro-ph.GA"
45;"cs.AR"
46;"q-bio.NC"
47;"cond-mat.mtrl-sci"
48;"physics.data-an"
49;"physics.app-ph"
50;"q-bio.MN"
51;"q-bio.GN"
52;"q-bio.BM"
53;"physics.med-ph"
54;"cs.CE"
55;"cs.IT"
56;"math.PR"
57;"physics.comp-ph"
58;"physics.bio-ph"
59;"cond-mat.stat-mech"
60;"nlin.AO"
61;"q-bio.OT"
62;"cond-mat.dis-nn"
63;"q-bio.PE"
64;"cond-mat.soft"
65;"q-bio"
66;"cs.DL"
67;"cs.SC"
68;"cs.LO"
69;"stat.OT"
70;"cs.MS"
71;"math.SP"
72;"cs.FL"
73;"physics.ed-ph"
74;"q-fin.GN"
75;"cs.GL"
76;"cs.ET"
77;"hep-th"
78;"math.HO"
79;"physics.chem-ph"
80;"hep-ph"
81;"math.FA"
82;"quant-ph"
83;"nlin.CD"
84;"physics.flu-dyn"
85;"math.AP"
86;"math.AT"
87;"hep-ex"
88;"stat.CO"
89;"nlin.CG"
90;"cs.DM"
91;"q-fin.CP"
92;"math.CO"
93;"math.LO"
94;"math.CT"
95;"cond-mat.other"
96;"nlin.SI"
97;"math.GM"
98;"physics.ins-det"
99;"astro-ph.EP"
100;"cond-mat.mes-hall"
101;"math.MG"
102;"math.DG"
103;"physics.optics"
104;"q-bio.TO"
105;"hep-lat"
106;"astro-ph.CO"
107;"math.RT"
108;"physics.ao-ph"
109;"gr-qc"
110;"physics.geo-ph"
111;"physics.class-ph"
112;"math-ph"
113;"nlin.PS"
114;"q-fin.MF"
115;"cs.OS"
116;"q-fin.PM"
117;"cond-mat"
118;"physics.gen-ph"
119;"cond-mat.quant-gas"
120;"math.NT"
121;"astro-ph"
122;"astro-ph.SR"
123;"econ.EM"
124;"math.GR"
125;"astro-ph.HE"
126;"q-fin.RM"
127;"econ.TH"
128;"math.KT"
129;"math.SG"
130;"physics.acc-ph"
131;"math.AG"
