"id";"seed_id";"cited_paper_id";"is_influential"
3;1;11;0
9;1;17;0
11;1;19;0
12;1;20;0
13;1;21;0
22;1;30;0
29;1;37;0
30;1;38;0
34;1;42;0
35;1;43;0
37;1;45;0
39;1;47;0
40;1;48;0
41;1;49;0
47;1;55;0
53;1;61;0
54;1;62;0
55;1;63;0
57;1;65;0
58;1;66;0
59;1;67;0
60;1;68;0
63;1;71;0
64;1;72;0
76;1;84;0
80;1;88;0
81;1;89;0
83;1;91;0
85;1;93;0
87;1;95;0
90;1;98;0
94;1;102;0
97;1;105;0
98;1;106;0
99;1;107;0
100;1;108;0
105;1;113;0
114;1;122;0
118;1;126;0
121;1;129;0
123;1;131;0
125;1;133;0
126;1;134;0
127;1;135;0
128;1;136;0
129;1;137;0
132;1;140;0
133;1;141;0
134;1;142;0
136;1;144;0
137;1;145;0
138;1;146;0
139;1;147;0
140;1;148;0
142;1;150;0
143;1;151;0
144;1;152;0
145;1;153;0
146;1;154;0
147;1;155;0
148;1;156;0
153;1;161;0
154;1;162;0
156;1;164;0
158;1;166;0
159;1;167;0
161;1;169;0
166;1;174;0
167;1;175;0
168;1;176;0
169;1;177;0
170;1;178;0
172;1;180;0
174;1;182;1
176;1;184;0
178;1;186;0
186;1;194;0
191;1;199;0
204;2;213;0
207;2;216;0
209;2;218;0
210;2;219;0
213;2;222;0
217;2;226;0
218;2;227;1
220;2;229;0
228;2;237;0
232;2;241;1
233;2;242;0
236;2;245;0
237;2;246;0
238;2;247;0
241;2;250;0
243;2;252;0
244;2;253;0
246;2;255;1
247;2;256;0
251;2;260;0
253;2;262;1
261;2;270;0
264;2;273;0
274;2;283;0
275;2;284;0
277;2;286;0
284;2;293;0
310;2;319;1
326;2;335;0
378;3;386;0
380;3;388;0
381;3;389;0
383;3;391;0
385;3;393;0
386;3;394;0
387;3;395;0
388;3;396;0
390;3;398;0
395;3;4;0
396;3;403;0
397;3;404;0
398;3;405;1
399;3;406;0
400;3;407;0
401;3;408;0
402;3;7;0
404;3;410;0
405;3;411;0
406;3;412;0
407;3;413;0
409;3;415;0
412;3;418;1
414;3;420;0
415;3;421;0
416;3;422;0
419;3;425;0
420;3;426;0
421;3;427;0
422;3;428;1
423;3;429;0
431;3;437;1
432;3;438;0
434;3;440;0
435;3;441;0
436;3;442;1
437;3;443;0
439;3;445;0
440;3;446;0
441;3;447;0
442;3;448;0
443;3;449;0
444;3;450;0
445;3;451;0
447;3;453;0
449;3;455;0
452;3;458;0
453;3;459;0
459;3;465;0
462;3;468;0
467;3;473;0
468;3;474;0
470;3;476;0
473;3;479;0
476;3;482;1
477;3;483;1
479;3;485;0
518;4;523;0
519;4;524;0
520;4;525;0
521;4;526;1
522;4;527;0
523;4;405;0
524;4;528;0
525;4;407;1
526;4;529;0
527;4;530;0
528;4;531;0
529;4;532;0
531;4;410;0
532;4;534;1
533;4;535;1
534;4;536;0
536;4;538;0
538;4;412;1
539;4;411;0
540;4;540;0
542;4;542;1
543;4;543;0
544;4;544;0
545;4;415;0
546;4;545;0
555;4;554;0
559;4;418;0
560;4;558;0
561;4;559;0
562;4;560;0
566;4;564;0
567;4;420;0
568;4;421;1
569;4;565;0
571;4;567;0
572;4;422;1
574;4;569;0
575;4;570;0
576;4;571;1
577;4;572;0
578;4;573;0
580;4;425;1
581;4;575;1
583;4;577;1
584;4;578;0
585;4;579;0
586;4;427;0
587;4;580;0
588;4;581;1
589;4;582;0
590;4;583;0
591;4;584;0
592;4;585;0
593;4;586;0
597;4;589;0
604;4;593;1
605;4;437;1
606;4;594;0
607;4;438;1
609;4;440;1
610;4;595;0
611;4;596;1
612;4;597;0
613;4;598;1
614;4;599;1
615;4;600;0
616;4;601;0
619;4;604;1
620;4;605;0
621;4;606;0
622;4;607;0
624;4;609;1
625;4;610;0
626;4;611;0
627;4;612;1
628;4;445;1
629;4;613;0
630;4;614;0
631;4;446;1
632;4;615;1
633;4;616;1
634;4;449;1
635;4;450;0
636;4;451;1
637;4;617;1
638;4;455;0
639;4;618;1
640;4;619;1
642;4;620;0
645;4;623;0
646;4;624;1
648;4;626;0
649;4;627;0
650;4;628;1
652;4;630;0
653;4;631;1
655;4;632;0
656;4;465;1
657;4;633;1
660;4;636;1
661;4;637;0
664;4;640;1
666;4;468;0
669;4;473;0
671;4;644;0
680;4;482;1
682;4;483;0
683;4;485;0
684;4;651;0
742;5;705;0
743;5;706;1
744;5;707;0
745;5;708;1
746;5;709;0
747;5;710;0
751;5;713;0
752;5;714;1
753;5;715;0
754;5;716;1
755;5;717;0
756;5;718;0
757;5;719;0
758;5;720;0
759;5;721;0
760;5;722;0
762;5;724;0
763;5;725;0
764;5;726;0
766;5;728;0
767;5;729;1
768;5;730;0
769;5;731;0
770;5;394;1
771;5;732;1
772;5;733;0
773;5;734;0
774;5;735;0
776;5;737;0
778;5;739;1
779;5;4;0
780;5;530;1
781;5;740;1
782;5;535;1
783;5;741;1
784;5;540;0
785;5;560;0
786;5;564;1
788;5;421;0
789;5;567;1
790;5;743;0
791;5;744;0
792;5;425;1
793;5;745;0
794;5;579;0
795;5;427;1
796;5;746;1
797;5;429;0
799;5;437;0
800;5;748;1
801;5;596;0
802;5;598;0
803;5;604;0
804;5;612;0
805;5;749;0
806;5;615;1
807;5;750;0
808;5;751;0
809;5;619;0
810;5;752;1
812;5;627;1
813;5;628;0
814;5;630;0
815;5;631;0
816;5;754;0
817;5;465;0
818;5;755;0
819;5;756;0
820;5;757;0
821;5;758;0
822;5;93;1
823;5;759;0
826;5;762;0
834;5;770;1
838;6;775;0
839;6;776;0
840;6;777;0
842;6;779;0
843;6;780;0
848;6;785;1
849;6;786;1
850;6;787;0
851;6;628;0
