"id";"paper_id";"category_id"
1;1;1
2;1;2
3;1;3
5;2;2
4;2;3
6;2;4
7;3;4
9;4;4
8;4;5
10;5;4
11;6;4
12;7;4
1404;11;2
1403;11;3
1405;17;1
1408;19;1
1407;19;3
1406;19;55
1409;20;1
1160;21;1
1163;21;2
1161;21;3
1162;21;26
1415;30;1
1414;30;6
1416;37;10
1419;38;1
1418;38;2
1417;38;3
1421;42;1
1420;42;6
1423;43;1
1422;43;3
1426;45;1
1425;45;3
1424;45;32
1428;47;1
1427;47;6
1430;48;1
1429;48;6
1432;49;1
1431;49;6
1434;55;1
1433;55;3
1437;61;1
1436;61;2
1435;61;6
1439;62;1
1438;62;6
1442;63;1
1440;63;3
1441;63;6
1443;65;3
1445;66;1
1444;66;6
1447;67;2
1446;67;3
1449;68;1
1448;68;3
1452;71;6
1450;71;23
1451;71;25
1455;72;1
1453;72;3
1454;72;6
1456;84;3
1457;84;26
1458;88;3
1459;88;16
1463;89;1
1462;89;2
1460;89;3
1461;89;6
1465;91;3
1464;91;15
1466;93;1
1467;93;4
1468;95;1
1470;98;3
1473;98;6
1471;98;22
1472;98;55
1469;98;56
1475;102;1
1474;102;6
1480;105;1
1479;105;6
1482;106;16
1481;106;39
1485;107;2
1483;107;3
1484;107;26
1486;108;3
1488;108;8
1487;108;26
1489;113;9
1490;122;3
1491;122;26
1493;126;1
1495;126;4
1494;126;6
1492;126;10
1497;129;1
1496;129;3
1498;131;3
1499;131;26
1500;133;3
1501;133;26
1502;134;26
1503;134;38
1504;135;3
1505;135;26
1506;136;3
1507;136;8
1509;136;26
1508;136;57
1510;136;58
1511;137;3
1514;137;6
1512;137;26
1513;137;59
1518;140;1
1515;140;3
1517;140;6
1516;140;23
1519;140;26
1520;141;3
1521;141;26
1522;142;3
1525;142;5
1524;142;26
1523;142;39
1526;144;3
1528;144;26
1527;144;39
1529;145;3
1530;145;26
1531;145;48
1532;146;3
1533;146;26
1534;146;48
1535;146;59
1539;147;7
